episode_id,sensor_uid,tmc_code,corridor,link_id,date,period,t0_hour,t2_hour,t3_hour,P_hr,duration_min,threshold_used,min_speed_mph,mean_speed_mph,episode_demand,demand_capacity_ratio,magnitude,road_order,direction,is_clean_valid_episode,corridor_output,tmc,t2_source_method,daily_probe_day_count,daily_probe_t2_min_hour,daily_probe_t2_max_hour,daily_probe_t2_std_hour,screened_acceptance_share,anchor_t2_hour,anchor_source_method,anchor_episode_id,anchor_daily_probe_day_count,anchor_daily_t2_std_hour,anchor_source_reliable
state_transition__I395_NB::110+04121__Weekday__0001,I395_NB::110+04121,110+04121,I395_NB,5.0,Weekday,AM,6.25,8.0,11.0,5.0,300.0,45.60535,21.22434782608696,31.929170242800677,8605.916020963561,4.30295801048178,1.148727978531629,1.0,NORTHBOUND,True,I395_NB,110+04121,average_weekday,0,,,,1.0,8.0,average_weekday,state_transition__I395_NB::110+04121__Weekday__0001,0.0,,True
daily_probe_mean__110+04121__MD,,110+04121,I395_NB,,DailyMean,MD,8.928571428571429,12.035714285714286,13.892857142857142,5.214285714285714,,,26.185714285714287,,,,,1.0,NORTHBOUND,False,I395_NB,110+04121,daily_probe_mean,7,9.0,14.25,2.0934786985361207,0.2857142857142857,9.0,daily_probe_mean,daily_probe_mean__110+04121__MD,2.0,0.0,False
state_transition__I395_NB::110+04121__Weekday__0002,I395_NB::110+04121,110+04121,I395_NB,5.0,Weekday,PM,14.0,17.25,19.25,5.5,330.0,45.60535,20.43840909090909,29.72362513474668,9383.155930536424,4.691577965268212,1.2313551801977116,1.0,NORTHBOUND,True,I395_NB,110+04121,average_weekday,0,,,,1.0,17.25,average_weekday,state_transition__I395_NB::110+04121__Weekday__0002,0.0,,True
state_transition__I395_NB::110+04122__Weekday__0003,I395_NB::110+04122,110+04122,I395_NB,4.0,Weekday,AM,6.75,7.5,8.0,1.5,90.0,46.4793,45.664545454545454,46.89800889328063,2704.900932305946,1.4051433414576342,0.0178421691783956,3.0,NORTHBOUND,False,I395_NB,110+04122,average_weekday,0,,,,0.0,7.5,daily_probe_mean,daily_probe_mean__110+04122__AM,6.0,0.6291528696058958,True
daily_probe_mean__110+04122__MD,,110+04122,I395_NB,,DailyMean,MD,10.375,11.375,12.25,2.125,,,29.915,,,,,3.0,NORTHBOUND,False,I395_NB,110+04122,daily_probe_mean,2,10.25,12.5,1.125,0.0,,,,,,False
daily_probe_mean__110+04122__PM,,110+04122,I395_NB,,DailyMean,PM,16.5,17.25,17.977272727272727,1.7272727272727273,,,36.91909090909091,,,,,3.0,NORTHBOUND,False,I395_NB,110+04122,daily_probe_mean,11,15.0,18.5,1.0975178606954215,0.45454545454545453,16.95,daily_probe_mean,daily_probe_mean__110+04122__PM,5.0,1.5362291495737217,False
state_transition__I395_NB::110+04123__Weekday__0004,I395_NB::110+04123,110+04123,I395_NB,3.0,Weekday,AM,6.5,7.75,9.5,3.25,195.0,47.06379999999999,26.57318181818182,35.84095162084292,5320.921373135578,2.800484933229251,0.7711014180393763,5.0,NORTHBOUND,True,I395_NB,110+04123,average_weekday,0,,,,1.0,7.75,average_weekday,state_transition__I395_NB::110+04123__Weekday__0004,0.0,,True
daily_probe_mean__110+04123__MD,,110+04123,I395_NB,,DailyMean,MD,10.5,11.25,12.25,2.0,,,17.46,,,,,5.0,NORTHBOUND,True,I395_NB,110+04123,daily_probe_mean,1,11.25,11.25,0.0,1.0,11.25,daily_probe_mean,daily_probe_mean__110+04123__MD,1.0,0.0,False
state_transition__I395_NB::110+04123__Weekday__0005,I395_NB::110+04123,110+04123,I395_NB,3.0,Weekday,PM,17.25,18.0,18.5,1.5,90.0,47.06379999999999,42.79760869565217,45.285723320158105,2427.427931804641,1.2775936483182322,0.0996829363688542,5.0,NORTHBOUND,False,I395_NB,110+04123,average_weekday,0,,,,0.0,17.464285714285715,daily_probe_mean,daily_probe_mean__110+04123__PM,7.0,0.6738557951469002,True
state_transition__I395_NB::110+04124__Weekday__0006,I395_NB::110+04124,110+04124,I395_NB,9.0,Weekday,AM,6.5,7.75,9.5,3.25,195.0,46.92869999999999,30.386136363636364,38.848452619843926,5638.494243353191,2.9676285491332584,0.5444115513205032,7.0,NORTHBOUND,True,I395_NB,110+04124,average_weekday,0,,,,1.0,7.75,average_weekday,state_transition__I395_NB::110+04124__Weekday__0006,0.0,,True
