period,link_id,from_node_id,to_node_id,road,direction,street_name,target_origin,target_position_mi,network_length_mi,lanes,capacity,free_speed,link_type,allowed_use,period_volume,primary_mapped_tmc,mapped_tmc_count,primary_map_status,primary_map_confidence,primary_map_distance_to_tmc_ft,bridge_from_tmc,bridge_to_tmc,bridge_path_miles,t2_hour,assignment_status,assignment_tier,assignment_method,assignment_confidence,selected_tmc,left_anchor_tmc,right_anchor_tmc,left_anchor_distance_mi,right_anchor_distance_mi,anchor_gap_mi,propagation_minutes_per_mile,propagation_anchor_count,profile_detection_succeeded,profile_minimum_ratio,profile_coverage,linear_t2_candidate,profile_t2_candidate,t2_source_method,episode_id,source_screened_accepted,daily_probe_day_count,daily_probe_t2_std_hour,selected_map_status,selected_map_confidence,selected_map_distance_to_tmc_ft
AM,3321,1414,30093,VA-237,EASTBOUND,0,corridor_gap_bridge,1.530150407894737,0.13,7.0,3150.0,27.35878,200.0,sov;hov2;hov3;trk;apv;com,753.33313,,0,,,,110+13613,110+18839,1.8999999999999997,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
AM,3384,1435,30047,VA-237,EASTBOUND,0,mapped_route_link,0.26720549999999993,0.12,7.0,3150.0,27.35878,200.0,sov;hov2;hov3;trk;apv;com,1.02,110P51885,1,review_length,35.04,101.79,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
AM,3759,1587,32106,VA-420,WESTBOUND,0,mapped_route_link,0.0120395,0.16,7.0,3150.0,27.35878,200.0,sov;hov2;hov3;trk;apv;com,85.25974,110N11018,1,review_length,37.45,2.49,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
AM,4403,1854,34605,VA-677,NORTHBOUND,0,mapped_route_link,0.01788,0.17,7.0,3150.0,27.35878,100.0,sov;hov2;hov3;trk;apv;com,128.95602,110P51799,1,review_length,46.75,2.84,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
AM,4443,1872,34764,VA-686,SOUTHBOUND,0,mapped_route_link,1.3137344999999998,0.38,7.0,3150.0,37.01482,300.0,sov;hov2;hov3;trk;apv;com,285.60602,110-51848,1,review_low_confidence,52.67,726.96,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
AM,4471,1883,35984,VA-686,NORTHBOUND,0,mapped_route_link,1.2218844999999998,0.47,7.0,3150.0,37.01482,300.0,sov;hov2;hov3;trk;apv;com,429.85855,110+51850,1,matched,72.0,631.82,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
AM,4574,1924,34448,VA-695,SOUTHBOUND,0,mapped_route_link,2.8973885,0.49,7.0,3150.0,46.67086,400.0,sov;hov2;hov3;trk;apv;com,108.12534,110N51839,1,review_length,0.0,2.55,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
AM,4575,1924,34449,VA-695,NORTHBOUND,0,corridor_gap_bridge,1.9560735247093024,0.15,7.0,3150.0,46.67086,400.0,sov;hov2;hov3;trk;apv;com,162.66167,,0,,,,110+51839,110+51844,1.7200000000000002,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
AM,4836,2033,34137,VA-635,EASTBOUND,0,mapped_route_link,0.9910155,0.78,7.0,3150.0,27.35878,200.0,sov;hov2;hov3;trk;apv;com,20.9427,110P59115,1,review_od_distance,0.0,5.13,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
AM,4903,2061,34145,VA-241,SOUTHBOUND,0,mapped_route_link,1.7759565,0.19,7.0,3150.0,27.35878,200.0,sov;hov2;hov3;trk;apv;com,103.51113,110N10938,1,review_length,0.0,1053.01,,,,,unassigned,,,,,,,,,,,0,False,,,,,,,,,,,,
